model,acc,f1,precision,recall,bac,mcc
RF,0.9996974018912723,0.0,0.0,0.0,0.49998121071330964,-9.979882010118779e-05
SGD,0.9731179490542272,0.0,0.0,0.0,0.4866879611915824,-0.002692418189658051
XGB,0.9996974018912723,0.0,0.0,0.0,0.49998121071330964,-9.979882010118779e-05
Ensemble,0.9997035494826461,0.0,0.0,0.0,0.49998428532385897,-9.126865339519046e-05
