batch_idx,model,acc,f1,precision,recall,bac,mcc,f1_ema
15,rf,0.662,0.48942598187311176,1.0,0.324,0.662,0.4396787718714284,0.6484543127285797
15,xgb,0.656,0.4764079147640791,0.9968152866242038,0.313,0.656,0.428806129654051,0.6399520218143269
15,sgd_static,0.735,0.6414073071718539,0.9916317991631799,0.474,0.735,0.5510316994331184,0.7345290013137465
15,sgd_adaptive,0.9755,0.9756340129288911,0.9703264094955489,0.981,0.9755,0.9510575407218731,0.8926179878605377
15,ensemble,0.741,0.6514131897711979,0.9958847736625515,0.484,0.741,0.5619089713477116,0.7299349289494073
16,rf,0.6645,0.49586776859504134,0.9969788519637462,0.33,0.6645,0.44264313462743443,0.5950490222818413
16,xgb,0.6585,0.4829674489023467,0.9937694704049844,0.319,0.6585,0.431798767072396,0.5850074212951338
16,sgd_static,0.7455,0.6644693473961767,0.9748549323017408,0.504,0.7455,0.5607453037682245,0.7100081224425971
16,sgd_adaptive,0.9705,0.9709502708025604,0.95635305528613,0.986,0.9704999999999999,0.941452476648674,0.9200342868902456
16,ensemble,0.7535,0.6750164798945286,0.9903288201160542,0.512,0.7535000000000001,0.5790180631578203,0.7107134717801998
17,rf,0.6475,0.4555984555984556,1.0,0.295,0.6475,0.41595736303044034,0.5462413239426563
17,xgb,0.755,0.6754966887417219,1.0,0.51,0.755,0.5850486126764433,0.6166786649014396
17,sgd_static,0.758,0.6848958333333334,0.9813432835820896,0.526,0.758,0.5825011249412884,0.7012188212543549
17,sgd_adaptive,0.9815,0.9815277084373439,0.9800598205383848,0.983,0.9815,0.9630043335292513,0.94155698443173
17,ensemble,0.7625,0.6905537459283387,0.9906542056074766,0.53,0.7625,0.5930121616073589,0.7036575677320485
18,rf,0.6795,0.5283296541574687,1.0,0.359,0.6795,0.4677275310117003,0.5399722395178407
18,xgb,0.76,0.6850393700787402,0.9961832061068703,0.522,0.76,0.5912818136597239,0.6406049117134949
18,sgd_static,0.764,0.6935064935064935,0.9888888888888889,0.534,0.764,0.5946488929915477,0.6985195065426034
18,sgd_adaptive,0.99,0.9900199600798403,0.9880478087649402,0.992,0.99,0.9800078400940813,0.9585190259085685
18,ensemble,0.7685,0.6995457495133031,0.9963031423290203,0.539,0.7685,0.604432777142799,0.7022184313554876
19,rf,0.744,0.6559139784946236,1.0,0.488,0.744,0.5681120688308978,0.5805518481597147
19,xgb,0.7745,0.7095943335479716,0.9963833634719711,0.551,0.7745,0.6137274004876647,0.6647512093555618
