model,acc,f1,precision,recall,bac,mcc
RF,0.9952571942720327,0.7257495590828924,0.9959661153691004,0.5708670520231214,0.7854206762738238,0.7522158524921957
SGD,0.993676259029377,0.6231445016661618,0.9033816425120773,0.47560693641618496,0.7375207739778817,0.6529850412005272
XGB,0.9959053268875909,0.7719099532776441,0.9956172388604821,0.6302890173410405,0.8151290889852361,0.7905165894113135
Ensemble,0.9964289163731007,0.806500482027269,0.997275204359673,0.6769942196531792,0.8384868300364001,0.8201873006619785
