batch_idx,model,acc,f1,precision,recall,bac,mcc,f1_ema
4,ensemble,0.992,0.9919839679358717,0.9939759036144579,0.99,0.992,0.9840078720944653,0.9918750318429789
5,rf,0.9955,0.9954977488744372,0.995995995995996,0.995,0.9955,0.9910004955003716,0.9958724232279845
5,xgb,0.9975,0.9975037443834248,0.996011964107677,0.999,0.9975,0.9950044775302233,0.9957927541711598
5,sgd_static,0.9815,0.9813225643614336,0.9908256880733946,0.972,0.9815,0.9631738685763335,0.9804213891883842
5,sgd_adaptive,0.9625,0.9621403331650682,0.9714576962283384,0.953,0.9624999999999999,0.9251670077187004,0.9742140591715371
5,ensemble,0.994,0.993993993993994,0.9949899799599199,0.993,0.994,0.988001976005928,0.9926166685958342
6,rf,0.9965,0.9964982491245623,0.996996996996997,0.996,0.9964999999999999,0.9930004965003724,0.9960914622917867
6,xgb,0.9915,0.9915211970074813,0.9890547263681592,0.994,0.9915,0.9830122877303954,0.9942977091638724
6,sgd_static,0.9835,0.9834254143646409,0.987891019172553,0.979,0.9835,0.9670391658793431,0.981472798000074
6,sgd_adaptive,0.974,0.973816717019134,0.9807302231237323,0.967,0.974,0.9480929176591191,0.9740749894181961
6,ensemble,0.9925,0.992503748125937,0.9920079920079921,0.993,0.9924999999999999,0.9850004925003694,0.9925771464313702
7,rf,0.9985,0.9985007496251874,0.998001998001998,0.999,0.9984999999999999,0.9970004985003739,0.996934712858477
7,xgb,0.997,0.9970059880239521,0.9950199203187251,0.999,0.997,0.9940079520954253,0.9952456067649004
7,sgd_static,0.986,0.985985985985986,0.9869739478957916,0.985,0.986,0.9720019440058321,0.9830524137951433
7,sgd_adaptive,0.9375,0.9391727493917275,0.9146919431279621,0.965,0.9375,0.876326447637842,0.9618592054089322
7,ensemble,0.9965,0.9964982491245623,0.996996996996997,0.996,0.9964999999999999,0.9930004965003724,0.9939495323739875
8,rf,0.998,0.9979959919839679,1.0,0.996,0.998,0.9960079680956173,0.997306160552399
8,xgb,0.9945,0.9945027486256871,0.994005994005994,0.995,0.9944999999999999,0.9890004945003709,0.9949856064161757
8,sgd_static,0.9855,0.9854636591478697,0.9879396984924623,0.983,0.9855,0.9710121377275829,0.9838963496685975
8,sgd_adaptive,0.96,0.9598796389167502,0.9627766599597586,0.957,0.96,0.9200165604471333,0.9611663571366685
8,ensemble,0.994,0.993993993993994,0.9949899799599199,0.993,0.994,0.988001976005928,0.9939650939409899
9,rf,0.996,0.9959919839679359,0.9979919678714859,0.994,0.996,0.9920079360952333,0.9968461987478369
9,xgb,0.997,0.997002997002997,0.9960079840319361,0.998,0.997,0.9940019880059641,0.9956916931215632
9,sgd_static,0.983,0.9828801611278952,0.9898580121703854,0.976,0.983,0.9660946819184694,0.9835406836793517
9,sgd_adaptive,0.9725,0.9725959142999502,0.9692154915590864,0.976,0.9724999999999999,0.945023153350889,0.9651667021438172
9,ensemble,0.9955,0.9954977488744372,0.995995995995996,0.995,0.9955,0.9910004955003716,0.9945015231676966
10,rf,0.9995,0.9994997498749375,1.0,0.999,0.9995,0.9990004995003746,0.9977749416423222
10,xgb,0.9955,0.9955156950672646,0.9920556107249255,0.999,0.9955,0.991024280392308,0.9956300938025588
10,sgd_static,0.9855,0.9854344550477148,0.9899091826437941,0.981,0.9855,0.9710393278891853,0.9842035036582788
10,sgd_adaptive,0.9805,0.980372420734776,0.9868287740628167,0.974,0.9804999999999999,0.9610812147941201,0.9704887036506529
10,ensemble,0.996,0.9960079840319361,0.9940239043824701,0.998,0.996,0.9920079360952333,0.9950287844701805
11,rf,0.998,0.998,0.998,0.998,0.998,0.996,0.9978537120675095
11,xgb,0.9955,0.9955201592832255,0.9910802775024777,1.0,0.9955,0.9910401379383962,0.9955916167207922
11,sgd_static,0.9805,0.9804707060590886,0.9819458375125376,0.979,0.9804999999999999,0.9610043245291905,0.9828970244985622
11,sgd_adaptive,0.9735,0.9734867433716858,0.973973973973974,0.973,0.9735,0.9470004735003551,0.9715380175530144
11,ensemble,0.989,0.9890438247011952,0.9851190476190477,0.993,0.989,0.9780312975022881,0.9929340485510356
12,rf,0.997,0.9969909729187563,1.0,0.994,0.997,0.9940178924830985,0.9975517533654459
12,xgb,0.9945,0.9944972486243121,0.994994994994995,0.994,0.9944999999999999,0.9890004945003709,0.9952085878870243
12,sgd_static,0.98,0.9799599198396793,0.9819277108433735,0.978,0.98,0.9600076800921612,0.9818690378679532
12,sgd_adaptive,0.97,0.9696048632218845,0.9825462012320328,0.957,0.97,0.9403178811748377,0.970861413537119
12,ensemble,0.9905,0.9905047476261869,0.99000999000999,0.991,0.9904999999999999,0.9810004905003679,0.9920837932273386
13,rf,0.6485,0.4604758250191865,0.9900990099009901,0.3,0.6485,0.41418485441254677,0.8095751784442552
13,xgb,0.9575,0.9559357179885951,0.9924650161463939,0.922,0.9575,0.917315013674019,0.9814630834225742
13,sgd_static,0.9465,0.9444155844155844,0.9827027027027027,0.909,0.9465,0.8955222080671258,0.9687603291596242
13,sgd_adaptive,0.556,0.23580034423407917,0.845679012345679,0.137,0.556,0.20525217214570202,0.7135900392810551
13,ensemble,0.7545,0.6767610269914417,0.9903660886319846,0.514,0.7545,0.5805726516119263,0.8817208250447748
14,rf,0.662,0.4924924924924925,0.9879518072289156,0.328,0.662,0.4353894939493249,0.6985962383611384
14,xgb,0.9595,0.9582258896338318,0.9893503727369543,0.929,0.9595,0.9207145859672979,0.9733300655965144
14,sgd_static,0.9485,0.9466597617814604,0.9817400644468314,0.914,0.9485,0.8991429635302,0.9610251305772668
14,sgd_adaptive,0.9445,0.9422776911076443,0.9815817984832069,0.906,0.9445,0.8916472178493877,0.7936307174203614
14,ensemble,0.949,0.9465968586387434,0.9934065934065934,0.904,0.9490000000000001,0.9016591443678925,0.9044274368026638
15,rf,0.6355,0.42823529411764705,0.9927272727272727,0.273,0.6355,0.39346707268322023,0.6039699078759164
15,xgb,0.957,0.9552549427679501,0.9956616052060737,0.918,0.9570000000000001,0.916793139577387,0.9670037726065168
15,sgd_static,0.947,0.9448491155046826,0.9848156182212582,0.908,0.9470000000000001,0.8967320205494355,0.9553635253018624
15,sgd_adaptive,0.9465,0.9448737764039155,0.9744952178533475,0.917,0.9465,0.8945583361082358,0.8465657880646054
15,ensemble,0.952,0.949685534591195,0.9977973568281938,0.906,0.952,0.9078501862949842,0.9202677710286498
16,rf,0.6435,0.447714949651433,0.993127147766323,0.289,0.6435,0.406971850474842,0.5492806724973472
16,xgb,0.9595,0.9580962234868081,0.992497320471597,0.926,0.9595,0.9210696661610456,0.9638861304146189
16,sgd_static,0.9355,0.9323544834819087,0.980154355016538,0.889,0.9355,0.8747912501945969,0.9473103606648786
16,sgd_adaptive,0.975,0.9752475247524752,0.9656862745098039,0.985,0.975,0.9501900570190066,0.8916043959053599
16,ensemble,0.9405,0.9374013677012099,0.9889012208657048,0.891,0.9405,0.8853493376345971,0.9262645298640457
17,rf,0.657,0.4803030303030303,0.990625,0.317,0.657,0.42825260958813505,0.5251384977293363
17,xgb,0.961,0.9595854922279793,0.9956989247311828,0.926,0.9610000000000001,0.924267235501098,0.962380907049295
17,sgd_static,0.943,0.9401260504201681,0.9900442477876106,0.895,0.9430000000000001,0.8901111260278175,0.94479585207923
17,sgd_adaptive,0.99,0.9900990099009901,0.9803921568627451,1.0,0.99,0.9801960588196068,0.9260775108038306
17,ensemble,0.9525,0.9502878074306645,0.9967069154774972,0.908,0.9525,0.9086056871817081,0.9346726770123623
18,rf,0.65,0.46319018404907975,0.993421052631579,0.302,0.65,0.41780298545773725,0.5034565879412465
