model,acc,f1,precision,recall,bac,mcc
RF,0.9999549509676848,0.9998299466867946,0.9997911706970722,0.9998687256844165,0.9999184204171376,0.9998039841542246
SGD,0.9744263756551867,0.9111239288068557,0.8441107017079575,0.9896949662266988,0.9808951281894176,0.9001685131325861
XGB,0.9999628543066875,0.99985977558126,0.9998567925102483,0.9998627586700718,0.9999204473864161,0.9998383671780406
Ensemble,0.9999565316354854,0.9998359036784428,0.9998567856737935,0.9998150225553142,0.9998965793290373,0.9998108516657914
