batch_idx,model,acc,f1,precision,recall,bac,mcc,f1_ema
13,sgd_static,0.5275,0.1322314049586777,0.8089887640449438,0.072,0.5275,0.13336360994214083,0.6796633131784495
13,sgd_adaptive,0.52,0.13043478260869565,0.6923076923076923,0.072,0.52,0.0900791242218625,0.6804733710064187
13,ensemble,0.5035,0.033106134371957155,0.6296296296296297,0.017,0.5035,0.030328617599916317,0.65756883665856
14,rf,0.499,0.0,0.0,0.0,0.499,-0.03163859985841663,0.421600848519942
14,xgb,0.498,0.0,0.0,0.0,0.498,-0.04476614810358452,0.42141356742628555
14,sgd_static,0.527,0.1289134438305709,0.813953488372093,0.07,0.527,0.133098624553323,0.4869008589066921
14,sgd_adaptive,0.9955,0.9955201592832255,0.9910802775024777,1.0,0.9955,0.9910401379383962,0.7907397469033011
14,ensemble,0.503,0.0273972602739726,0.6363636363636364,0.014,0.503,0.028762508918626216,0.4370087849239545
15,rf,0.4975,0.0,0.0,0.0,0.4975,-0.05006261743217589,0.27404055153796236
15,xgb,0.4975,0.0,0.0,0.0,0.4975,-0.05006261743217589,0.2739188188270857
15,sgd_static,0.526,0.1270718232044199,0.8023255813953488,0.069,0.526,0.1281690458661629,0.3609606964108969
15,sgd_adaptive,0.998,0.998003992015968,0.9960159362549801,1.0,0.998,0.9960079680956173,0.8632822326927345
15,ensemble,0.5045,0.033170731707317075,0.68,0.017,0.5045,0.04050316443333686,0.29566546629813145
16,rf,0.498,0.0,0.0,0.0,0.498,-0.04476614810358452,0.17812635849967556
16,xgb,0.4965,0.0,0.0,0.0,0.4965,-0.05926460179221289,0.17804723223760574
16,sgd_static,0.525,0.12844036697247707,0.7777777777777778,0.07,0.525,0.12059576754873695,0.27957858110745
16,sgd_adaptive,0.9945,0.9945300845350572,0.9891196834817013,1.0,0.9944999999999999,0.9890598399305285,0.9092189808375475
16,ensemble,0.506,0.04263565891472868,0.6875,0.022,0.506,0.04781825347975037,0.2071050337139405
17,rf,0.4985,0.0,0.0,0.0,0.4985,-0.03875891355636926,0.11578213302478914
17,xgb,0.4995,0.0,0.0,0.0,0.4995,-0.02236627204212922,0.11573070095444375
17,sgd_static,0.521,0.11296296296296296,0.7625,0.061,0.521,0.10716517624676404,0.22126311475687957
17,sgd_adaptive,0.9965,0.9964947421131698,0.9979939819458375,0.995,0.9964999999999999,0.9930044685301626,0.9397654972840153
17,ensemble,0.505,0.021739130434782608,0.9166666666666666,0.011,0.505,0.06474424740545882,0.14222696756623526
18,rf,0.5,0.0,0.0,0.0,0.5,0.0,0.07525838646611295
18,xgb,0.498,0.0,0.0,0.0,0.498,-0.04476614810358452,0.07522495562038846
18,sgd_static,0.523,0.1150278293135436,0.7948717948717948,0.062,0.523,0.11880475927474207,0.184080764851712
18,sgd_adaptive,0.9985,0.9985022466300549,0.9970089730807578,1.0,0.9984999999999999,0.9970044865302841,0.9603233595551293
18,ensemble,0.504,0.027450980392156862,0.7,0.014,0.504,0.04020151261036849,0.10205537205530785
19,rf,0.498,0.0,0.0,0.0,0.498,-0.04476614810358452,0.04891795120297343
19,xgb,0.4975,0.0,0.0,0.0,0.4975,-0.05006261743217589,0.04889622115325251
19,sgd_static,0.5225,0.10997204100652376,0.8082191780821918,0.059,0.5225,0.11998037814709672,0.15814271150589612
19,sgd_adaptive,0.9995,0.9995002498750625,0.999000999000999,1.0,0.9995,0.9990004995003746,0.9740352711671059
19,ensemble,0.5065,0.03140333660451423,0.8421052631578947,0.016,0.5065,0.06700763871146823,0.07732715964753009
20,rf,0.4985,0.0,0.0,0.0,0.4985,-0.03875891355636926,0.031796668281932734
20,xgb,0.498,0.0,0.0,0.0,0.498,-0.04476614810358452,0.03178254374961414
20,sgd_static,0.524,0.11851851851851852,0.8,0.064,0.524,0.12247448713915891,0.14427424396031396
20,sgd_adaptive,0.9995,0.9995002498750625,0.999000999000999,1.0,0.9995,0.9990004995003746,0.9829480137148907
20,ensemble,0.5045,0.025565388397246803,0.7647058823529411,0.013,0.5045,0.04901812462530176,0.05921053970993095
21,rf,0.498,0.0,0.0,0.0,0.498,-0.04476614810358452,0.02066783438325628
21,xgb,0.499,0.0,0.0,0.0,0.499,-0.03163859985841663,0.020658653437249194
21,sgd_static,0.5225,0.1049671977507029,0.835820895522388,0.056,0.5225,0.12504294264340696,0.1305167777869501
21,sgd_adaptive,1.0,1.0,1.0,1.0,1.0,1.0,0.988916208914679
21,ensemble,0.5065,0.027586206896551724,0.9333333333333333,0.014,0.5065,0.0753385864139668,0.04814202322524822
22,rf,0.499,0.0,0.0,0.0,0.499,-0.03163859985841663,0.013434092349116585
