model,acc,f1,precision,recall,bac,mcc
RF,0.9633910034602076,0.6512854317732366,0.988,0.4857423795476893,0.7426478591701076,0.6791744465233631
SVM,0.961038062283737,0.6618618618618619,0.8503086419753086,0.5417895771878073,0.7672842771668211,0.6606810912371787
XGB,0.9672664359861591,0.7023285084959093,0.9755244755244755,0.5486725663716814,0.7738151784437876,0.718411113928346
Ensemble,0.9676124567474048,0.7034220532319392,0.9893048128342246,0.5457227138643068,0.7726380263284163,0.7220154469984806
