model,acc,f1,precision,recall,bac,mcc
RF,0.9999686974747029,0.9999804700435942,0.9999957542924104,0.9999651862619895,0.9999740266171546,0.9999016659381756
SGD,0.9983300783243622,0.9989571735749314,0.9998800534910389,0.9980359957068717,0.9987764221631461,0.9947789991706476
XGB,0.9999714194334243,0.9999821683612384,0.9999940560497526,0.9999702809553569,0.9999731473583023,0.9999102148882307
Ensemble,0.9999605315985383,0.9999753750841706,0.9999983016910062,0.999952449528571,0.9999727981587494,0.9998760193786904
