batch_idx,model,acc,f1,precision,recall,bac,mcc,f1_ema
16,xgb,0.597,0.327212020033389,0.98989898989899,0.196,0.597,0.32478184266960247,0.4279916604293567
16,sgd_static,0.749,0.6706036745406824,0.9751908396946565,0.511,0.749,0.5662660446202741,0.7191926113668363
16,sgd_adaptive,0.997,0.997002997002997,0.9960079840319361,0.998,0.997,0.9940019880059641,0.9340979343417394
16,ensemble,0.754,0.6737400530503979,1.0,0.508,0.754,0.5835088463138683,0.6953821018052027
17,rf,0.6545,0.4721161191749427,1.0,0.309,0.6545,0.42747176652595253,0.5077752862965823
17,xgb,0.5975,0.3263598326359833,1.0,0.195,0.5975,0.3286841051788631,0.39242052070167605
17,sgd_static,0.7605,0.6891628812459442,0.9815157116451017,0.531,0.7605,0.5864236068741122,0.7086822058245241
17,sgd_adaptive,0.9845,0.9843037974683544,0.9969230769230769,0.972,0.9844999999999999,0.9693029545173286,0.9516699864360547
17,ensemble,0.7615,0.6872131147540984,0.9980952380952381,0.524,0.7615000000000001,0.5943277752545844,0.6925229563373162
18,rf,0.674,0.516320474777448,1.0,0.348,0.6739999999999999,0.4589703182414244,0.5107661022648853
18,xgb,0.608,0.35737704918032787,0.990909090909091,0.218,0.608,0.3451694969343203,0.3801553056692042
18,sgd_static,0.762,0.6901041666666666,0.9888059701492538,0.53,0.762,0.5915321501341766,0.7021798921192741
18,sgd_adaptive,0.9905,0.9905800694100149,0.9823008849557522,0.999,0.9904999999999999,0.9811417852326895,0.9652885154769408
18,ensemble,0.7635,0.6910516002612671,0.9962335216572504,0.529,0.7635000000000001,0.5966950798036694,0.6920079817106991
19,rf,0.7465,0.6604152712659076,1.0,0.493,0.7464999999999999,0.5719615487700201,0.5631433114152431
19,xgb,0.606,0.3519736842105263,0.9907407407407407,0.214,0.606,0.3415163972536177,0.37029173815866695
19,sgd_static,0.777,0.7155612244897959,0.9876760563380281,0.561,0.777,0.6142767641971302,0.7068633584489568
