model,acc,f1,precision,recall,bac,mcc
RF,0.9998612143742255,0.9998702526366517,0.9998023031680917,0.9999382113419261,0.9998554555853703,0.9997210859150326
SGD,0.956639405204461,0.9610343332600859,0.9251183425186947,0.9998517072206226,0.9534074529511407,0.9158278700150749
XGB,0.9991375464684015,0.9991942529551776,0.9984575613427854,0.9999320324761187,0.9990781249443662,0.9982677657342869
Ensemble,0.9990846757538208,0.9991449007374845,0.9983590072610844,0.9999320324761187,0.9990212999015698,0.9981616583230382
